stock_code,bias,prev_high,strategy_tag,data_date
4994,0.05680541846771722,105.0,ma_conv,2026-01-30
4930,-0.017769376181474596,21.8,bias|ma_conv,2026-01-30
2722,-0.054868576399676905,25.45,bias|ma_conv,2026-01-30
3046,0.007627590270730391,52.5,bias|ma_conv,2026-01-30
2527,0.018262963180456906,29.2,bias|ma_conv,2026-01-30
1341,0.0,57.8,ma_conv,2026-01-30
8083,0.09758026253360755,174.0,ma_conv,2026-01-30
2606,0.03142359671669021,63.5,ma_conv,2026-01-30
3078,-0.09548464780252852,63.6,bias|ma_conv,2026-01-30
00907,0.007871618683134733,15.64,bias|ma_conv,2026-01-30
8162,0.03503967418018425,38.0,ma_conv,2026-01-30
1611,0.0160913573838569,13.4,bias|ma_conv,2026-01-30
2732,-0.04730447092131653,68.7,bias|ma_conv,2026-01-30
4303,-0.08831311728799349,59.0,bias|ma_conv,2026-01-30
3652,0.0033155542741819806,29.0,bias|ma_conv,2026-01-30
00668K,0.01889799635701259,17.9,bias|ma_conv,2026-01-30
2201,-0.08557685228360361,32.15,bias|ma_conv,2026-01-30
00719B,-0.0036662330262012136,30.92,bias|ma_conv,2026-01-30
1732,-0.020995379846774645,28.85,bias,2026-01-30
2836,-0.013901253167157346,12.15,bias|ma_conv,2026-01-30
3516,0.009524608735786437,20.05,bias|ma_conv,2026-01-30
00969B,-0.023971600772396764,8.34,bias|ma_conv,2026-01-30
4991,0.22572443119547586,233.0,ma_conv,2026-01-30
8481,0.027322404371584702,42.35,ma_conv,2026-01-30
6230,0.029787234042553193,122.0,ma_conv,2026-01-30
2441,0.06899438000717441,94.0,ma_conv,2026-01-30
6692,0.0,31.9,ma_conv,2026-01-30
00920,0.10107542312832417,20.65,ma_conv,2026-01-30
3515,-0.13311655660219235,222.0,bias|ma_conv,2026-01-30
00633L,-0.022210832628040217,48.64,bias|ma_conv,2026-01-30
6754,-0.05005870423737871,44.55,bias|ma_conv,2026-01-30
3521,0.056603773584905634,14.9,ma_conv,2026-01-30
6161,-0.06466639768183999,43.0,bias|ma_conv,2026-01-30
2496,0.02775621118012422,71.3,ma_conv,2026-01-30
6474,0.0,35.45,ma_conv,2026-01-30
8042,0.0531474139083174,63.5,ma_conv,2026-01-30
2101,-0.04708720514653327,36.65,bias|ma_conv,2026-01-30
2453,0.03180951209007574,58.5,ma_conv,2026-01-30
2438,-0.02906934172951594,22.5,bias|ma_conv,2026-01-30
2850,-0.03550760877330856,113.5,bias|ma_conv,2026-01-30
3050,0.04850626405396736,14.0,ma_conv,2026-01-30
3443,0.18569920048272748,2670.0,ma_conv,2026-01-30
4739,-0.026786142124682492,71.1,bias|ma_conv,2026-01-30
6189,-0.02582615940016665,44.55,bias|ma_conv,2026-01-30
8927,-0.028712277663046976,25.15,bias|ma_conv,2026-01-30
00836B,-0.011078730425119351,29.07,bias|ma_conv,2026-01-30
8043,0.020376611731238906,87.6,bias|ma_conv,2026-01-30
1537,-0.003228410008071071,124.0,bias|ma_conv,2026-01-30
00893,0.05988600418697753,34.8,ma_conv,2026-01-30
2397,-0.024377002008795313,60.4,bias|ma_conv,2026-01-30
00884B,-0.01998165006565321,29.74,bias|ma_conv,2026-01-30
00758B,0.001227707417937299,51.75,bias|ma_conv,2026-01-30
6922,-0.07460960092539043,163.0,bias|ma_conv,2026-01-30
00733,0.07851367002794551,51.5,ma_conv,2026-01-30
4931,-0.07702000315010235,151.0,bias|ma_conv,2026-01-30
00899,0.10596419240571256,23.15,ma_conv,2026-01-30
3609,-0.14918689606410554,37.15,bias|ma_conv,2026-01-30
6684,-0.03841826072978621,51.6,bias|ma_conv,2026-01-30
4728,0.0,392.0,ma_conv,2026-01-30
5478,0.028882687199488884,103.5,ma_conv,2026-01-30
3679,-0.009986973512809428,117.0,bias|ma_conv,2026-01-30
4441,-0.016456548936579645,257.0,bias|ma_conv,2026-01-30
6725,0.0,255.5,ma_conv,2026-01-30
00850,0.0916284506788959,61.2,ma_conv,2026-01-30
8433,0.0613095802141571,56.5,ma_conv,2026-01-30
2402,-0.0344389491356231,55.2,bias|ma_conv,2026-01-30
3356,0.012729446515226072,48.85,bias|ma_conv,2026-01-30
2393,0.028994447871684207,56.7,ma_conv,2026-01-30
00695B,-0.00903559433975522,35.26,bias|ma_conv,2026-01-30
6229,0.006252298639205548,23.4,bias|ma_conv,2026-01-30
4109,-0.06847524105245963,14.5,bias|ma_conv,2026-01-30
6509,0.04286171496097892,35.8,ma_conv,2026-01-30
6416,0.014576561845699647,85.7,bias|ma_conv,2026-01-30
3052,-0.014488595610386007,11.55,bias|ma_conv,2026-01-30
8066,0.023848170807841136,20.9,bias|ma_conv,2026-01-30
2881A,0.0,63.3,ma_conv,2026-01-30
3479,-0.06202564773619483,91.1,bias|ma_conv,2026-01-30
6859,-0.031722611582441884,106.5,bias|ma_conv,2026-01-30
3013,-0.11093627065302906,114.5,bias|ma_conv,2026-01-30
00792B,-0.009061451995940563,32.07,bias|ma_conv,2026-01-30
3217,-0.049065775482302836,158.0,bias|ma_conv,2026-01-30
00736,0.047726597325408536,29.38,ma_conv,2026-01-30
6409,-0.17328939716999414,918.0,bias,2026-01-30
4737,-0.111456176673568,54.5,bias|ma_conv,2026-01-30
8028,-0.0036737692872887582,173.5,bias,2026-01-30
912000,-0.01828681424446574,2.77,bias|ma_conv,2026-01-30
00755B,-0.003235533863087579,33.22,bias|ma_conv,2026-01-30
2317,-0.039250571874659565,223.5,bias|ma_conv,2026-01-30
5534,-0.029592220042572684,78.5,bias|ma_conv,2026-01-30
4416,-0.14252607184241006,29.7,bias|ma_conv,2026-01-30
6579,0.14529530653492026,128.0,ma_conv,2026-01-30
00768B,-0.013243230259259957,51.35,bias|ma_conv,2026-01-30
4746,-0.061530928676350516,59.6,bias|ma_conv,2026-01-30
006208,0.11490745040801448,168.8,ma_conv,2026-01-30
009810,0.01534466903478237,18.81,bias|ma_conv,2026-01-30
2458,-0.055435952637244296,118.5,bias|ma_conv,2026-01-30
00931B,-0.017915427576702683,13.54,bias|ma_conv,2026-01-30
00799B,-0.006126914660831418,30.3,bias|ma_conv,2026-01-30
4766,-0.042184005552556525,316.5,bias|ma_conv,2026-01-30
4568,0.0,42.3,ma_conv,2026-01-30
6877,0.011027278003482166,88.8,bias|ma_conv,2026-01-30
6931,-0.09451046972269382,58.2,bias|ma_conv,2026-01-30
6733,-0.05146579804560264,37.0,bias|ma_conv,2026-01-30
6425,-0.15051787504176414,71.0,bias,2026-01-30
2380,0.018932642835524788,5.1,bias|ma_conv,2026-01-30
2404,0.004628519795681218,948.0,bias,2026-01-30
1723,0.026718703092164432,74.5,ma_conv,2026-01-30
2241,-0.11432986599626363,32.35,bias,2026-01-30
6527,-0.04328599370694784,75.7,bias|ma_conv,2026-01-30
6706,0.08595194085027724,128.5,ma_conv,2026-01-30
4108,0.010330208395533424,14.4,bias|ma_conv,2026-01-30
2915,-0.06090190609019058,50.9,bias|ma_conv,2026-01-30
1786,0.009278505153534584,80.4,bias|ma_conv,2026-01-30
2911,0.06421381464769182,5.11,ma_conv,2026-01-30
1295,-0.09482519551110206,84.2,bias|ma_conv,2026-01-30
6558,-0.04650184812199817,38.15,bias|ma_conv,2026-01-30
1614,0.008033991843910996,34.6,bias|ma_conv,2026-01-30
00945B,0.001864254643375062,14.51,bias|ma_conv,2026-01-30
4711,-0.008919722497522285,15.25,bias|ma_conv,2026-01-30
2024,0.0,16.35,ma_conv,2026-01-30
1307,-0.03233226837060694,32.55,bias|ma_conv,2026-01-30
6272,0.0,42.9,ma_conv,2026-01-30
9958,-0.029668826921933514,144.0,bias|ma_conv,2026-01-30
4414,-0.052607255641993464,10.35,bias|ma_conv,2026-01-30
2880,0.06359619761681622,33.75,ma_conv,2026-01-30
4168,0.18313318777292575,29.2,ma_conv,2026-01-30
00933B,-0.007358538442019806,16.3,bias|ma_conv,2026-01-30
4138,-0.03514188300357065,60.2,bias|ma_conv,2026-01-30
6531,0.00585480093676815,447.5,bias,2026-01-30
7402,0.030429672195376834,138.0,ma_conv,2026-01-30
2258,-0.04162935504696054,38.5,bias|ma_conv,2026-01-30
00983D,-0.003682821106149971,10.2,bias|ma_conv,2026-01-30
5236,0.005703157601891811,121.5,bias|ma_conv,2026-01-30
3130,-0.012703365277468216,222.5,bias|ma_conv,2026-01-30
2887E,0.007741501178054518,49.95,bias|ma_conv,2026-01-30
6199,-0.03717062418595325,101.0,bias|ma_conv,2026-01-30
7736,-0.03473977455122412,88.8,bias|ma_conv,2026-01-30
1233,0.009195944352747006,32.2,bias|ma_conv,2026-01-30
2314,-0.06700155130383394,21.6,bias|ma_conv,2026-01-30
8261,0.007753345559529993,96.4,bias|ma_conv,2026-01-30
3093,0.03248568765810142,26.25,ma_conv,2026-01-30
2528,-0.08407153601871983,27.85,bias|ma_conv,2026-01-30
2515,-0.023405013662825224,14.05,bias|ma_conv,2026-01-30
4111,0.0008986744551785125,29.75,bias|ma_conv,2026-01-30
4114,0.0019585609730955337,33.0,bias|ma_conv,2026-01-30
009803,0.10852919888766142,14.7,ma_conv,2026-01-30
00940,0.03413351338865302,9.8,ma_conv,2026-01-30
00724B,-0.011609709588724546,34.23,bias|ma_conv,2026-01-30
2227,-0.019578176536448087,54.0,bias|ma_conv,2026-01-30
4569,-0.03880266075388033,150.0,bias|ma_conv,2026-01-30
6728,0.039428748835765214,141.0,ma_conv,2026-01-30
4906,0.04837226411624049,28.7,ma_conv,2026-01-30
00970B,-0.005553993250843689,9.45,bias|ma_conv,2026-01-30
6698,0.08503088447890654,34.5,ma_conv,2026-01-30
3357,-0.0059663328361389545,162.5,bias|ma_conv,2026-01-30
1711,0.05806233348839178,21.65,ma_conv,2026-01-30
6118,-0.03318028242224717,18.9,bias|ma_conv,2026-01-30
2207,0.0,544.0,ma_conv,2026-01-30
3026,-0.00227551199019776,104.5,bias|ma_conv,2026-01-30
3227,-0.043050725506655445,207.5,bias|ma_conv,2026-01-30
9802,-0.0959192125131408,96.1,bias|ma_conv,2026-01-30
4938,-0.012234871746421603,70.1,bias|ma_conv,2026-01-30
4749,0.03816241635015371,872.0,ma_conv,2026-01-30
4908,-0.058808171790353234,75.0,bias|ma_conv,2026-01-30
6175,-0.05857637578164754,49.6,bias,2026-01-30
00986A,0.03909643788010435,12.03,ma_conv,2026-01-30
4721,-0.032091985584348594,68.0,bias|ma_conv,2026-01-30
6596,-0.008352585747289932,140.0,bias|ma_conv,2026-01-30
00900,0.05014018861741234,14.6,ma_conv,2026-01-30
2347,0.06770267333188429,66.8,ma_conv,2026-01-30
4966,-0.12995806036018748,563.0,bias|ma_conv,2026-01-30
6482,-0.07507558659455774,38.0,bias|ma_conv,2026-01-30
00671R,-0.012201529569735515,2.83,bias|ma_conv,2026-01-30
3552,-0.11550223476828984,56.9,bias|ma_conv,2026-01-30
6294,-0.013165173138621658,44.65,bias|ma_conv,2026-01-30
3022,-0.03352461491996374,65.0,bias|ma_conv,2026-01-30
8422,0.0,38.4,ma_conv,2026-01-30
6658,-0.00015810276679840998,54.5,bias|ma_conv,2026-01-30
4147,-0.10978295061340049,59.1,bias|ma_conv,2026-01-30
4907,-0.04542015094778903,41.0,bias,2026-01-30
00902,0.06192706257473098,14.38,ma_conv,2026-01-30
2002,0.10725720384204919,21.55,ma_conv,2026-01-30
2032,0.19819769705735105,19.0,ma_conv,2026-01-30
2611,0.005455962587685255,15.1,bias|ma_conv,2026-01-30
6841,0.007642650441492922,69.9,bias|ma_conv,2026-01-30
5315,0.02035878469461828,24.9,bias|ma_conv,2026-01-30
3032,-0.09132572285642869,73.3,bias|ma_conv,2026-01-30
1734,0.00828056502679003,31.3,bias|ma_conv,2026-01-30
6910,0.0,36.45,ma_conv,2026-01-30
4557,-0.07706712441759372,70.2,bias,2026-01-30
3162,0.008657644784399439,60.8,bias|ma_conv,2026-01-30
8924,-0.01711659965537058,72.5,bias|ma_conv,2026-01-30
1590,0.19296776894097947,1140.0,ma_conv,2026-01-30
4126,-0.046617595513494516,82.3,bias|ma_conv,2026-01-30
00779B,-0.014597907652492435,28.43,bias|ma_conv,2026-01-30
5227,-0.007003109003548717,27.05,bias|ma_conv,2026-01-30
6292,0.00034522673273344566,41.1,bias|ma_conv,2026-01-30
00773B,-0.007419590809339797,36.41,bias|ma_conv,2026-01-30
2885,0.11345805672902827,43.15,ma_conv,2026-01-30
1760,0.0027940837199764987,67.0,bias|ma_conv,2026-01-30
4175,-0.004735256134309181,58.9,bias|ma_conv,2026-01-30
8072,-0.022344115511817343,31.35,bias|ma_conv,2026-01-30
00657,0.05003328156201466,63.15,ma_conv,2026-01-30
